7_days,14_days,21_days,28_days,nth_day,week_day,target
34.0,35.0,36.0,36.0,5,2,39
37.0,39.0,40.0,40.0,6,3,47
32.0,33.0,33.0,33.0,7,4,47
58.0,58.0,57.0,57.0,1,6,56
59.0,57.0,57.0,57.0,2,0,55
34.0,34.0,35.0,35.0,3,1,46
37.0,36.0,38.0,37.0,4,2,39
37.0,36.0,38.0,38.0,5,3,47
29.0,29.0,31.0,30.0,6,4,47
22.0,21.0,22.0,22.0,7,5,41
57.0,56.0,56.0,56.0,1,0,55
39.0,38.0,37.0,38.0,2,1,46
34.0,34.0,35.0,35.0,3,2,39
39.0,40.0,40.0,41.0,4,3,47
31.0,32.0,33.0,34.0,5,4,47
17.0,18.0,18.0,19.0,6,5,41
30.0,31.0,32.0,33.0,7,6,52
43.0,43.0,43.0,43.0,1,1,46
35.0,33.0,32.0,33.0,2,2,39
41.0,41.0,40.0,41.0,3,3,47
36.0,35.0,35.0,35.0,4,4,47
21.0,21.0,21.0,22.0,5,5,41
34.0,34.0,35.0,35.0,6,6,52
60.0,60.0,60.0,60.0,7,0,58
38.0,38.0,38.0,38.0,1,2,39
40.0,39.0,38.0,38.0,2,3,47
38.0,37.0,36.0,37.0,3,4,47
27.0,28.0,27.0,27.0,4,5,41
34.0,36.0,35.0,36.0,5,6,52
60.0,60.0,60.0,60.0,6,0,58
50.0,54.0,54.0,55.0,7,1,42
43.0,43.0,43.0,43.0,1,3,47
37.0,36.0,36.0,35.0,2,4,47
25.0,24.0,24.0,25.0,3,5,41
40.0,40.0,40.0,41.0,4,6,52
60.0,60.0,60.0,60.0,5,0,58
44.0,44.0,46.0,47.0,6,1,42
27.0,28.0,30.0,30.0,7,2,44
40.0,40.0,40.0,40.0,1,4,47
29.0,28.0,27.0,27.0,2,5,41
50.0,48.0,48.0,48.0,3,6,52
60.0,60.0,60.0,60.0,4,0,58
46.0,45.0,45.0,46.0,5,1,42
25.0,24.0,25.0,26.0,6,2,44
30.0,31.0,32.0,33.0,7,3,46
38.0,38.0,37.0,37.0,1,5,41
52.0,50.0,49.0,48.0,2,6,52
60.0,60.0,60.0,60.0,3,0,58
43.0,42.0,42.0,43.0,4,1,42
26.0,25.0,26.0,26.0,5,2,44
31.0,29.0,30.0,31.0,6,3,46
13.0,13.0,13.0,13.0,7,4,33
50.0,49.0,49.0,48.0,1,6,52
60.0,60.0,60.0,60.0,2,0,58
45.0,42.0,41.0,42.0,3,1,42
25.0,24.0,24.0,24.0,4,2,44
37.0,35.0,33.0,35.0,5,3,46
20.0,19.0,18.0,19.0,6,4,33
50.0,50.0,49.0,51.0,7,5,37
60.0,60.0,60.0,59.0,1,0,58
46.0,43.0,41.0,40.0,2,1,42
34.0,30.0,30.0,30.0,3,2,44
39.0,35.0,35.0,35.0,4,3,46
22.0,19.0,18.0,18.0,5,4,33
59.0,49.0,48.0,49.0,6,5,37
53.0,46.0,44.0,45.0,7,6,48
44.0,42.0,42.0,41.0,1,1,42
38.0,36.0,34.0,34.0,2,2,44
45.0,42.0,41.0,40.0,3,3,46
28.0,25.0,25.0,24.0,4,4,33
51.0,45.0,43.0,43.0,5,5,37
57.0,51.0,49.0,48.0,6,6,48
60.0,60.0,60.0,60.0,7,0,54
42.0,41.0,41.0,40.0,1,2,44
41.0,40.0,39.0,37.0,2,3,46
27.0,26.0,26.0,25.0,3,4,33
46.0,43.0,43.0,41.0,4,5,37
51.0,46.0,46.0,44.0,5,6,48
60.0,60.0,60.0,60.0,6,0,54
60.0,60.0,60.0,60.0,7,1,41
45.0,43.0,43.0,42.0,1,3,46
35.0,33.0,32.0,32.0,2,4,33
50.0,47.0,45.0,45.0,3,5,37
53.0,48.0,46.0,46.0,4,6,48
60.0,60.0,60.0,60.0,5,0,54
60.0,60.0,60.0,60.0,6,1,41
25.0,22.0,21.0,22.0,7,2,28
36.0,35.0,35.0,34.0,1,4,33
48.0,46.0,44.0,43.0,2,5,37
53.0,50.0,49.0,48.0,3,6,48
60.0,60.0,60.0,60.0,4,0,54
60.0,60.0,56.0,56.0,5,1,41
30.0,26.0,24.0,24.0,6,2,28
29.0,25.0,25.0,25.0,7,3,41
37.0,37.0,37.0,36.0,1,5,37
47.0,46.0,44.0,44.0,2,6,48
60.0,60.0,60.0,60.0,3,0,54
58.0,53.0,50.0,50.0,4,1,41
25.0,22.0,21.0,21.0,5,2,28
27.0,24.0,22.0,22.0,6,3,41
43.0,38.0,36.0,36.0,7,4,39
48.0,48.0,47.0,47.0,1,6,48
58.0,60.0,59.0,57.0,2,0,54
46.0,47.0,46.0,44.0,3,1,41
23.0,22.0,21.0,21.0,4,2,28
25.0,24.0,23.0,22.0,5,3,41
37.0,37.0,35.0,34.0,6,4,39
60.0,60.0,60.0,60.0,7,5,54
56.0,57.0,56.0,55.0,1,0,54
41.0,44.0,42.0,41.0,2,1,41
19.0,21.0,20.0,19.0,3,2,28
25.0,25.0,23.0,23.0,4,3,41
33.0,35.0,32.0,31.0,5,4,39
59.0,60.0,57.0,56.0,6,5,54
34.0,36.0,34.0,33.0,7,6,52
39.0,40.0,39.0,39.0,1,1,41
22.0,23.0,23.0,22.0,2,2,28
23.0,24.0,23.0,22.0,3,3,41
28.0,29.0,27.0,27.0,4,4,39
49.0,53.0,49.0,48.0,5,5,54
35.0,37.0,35.0,34.0,6,6,52
35.0,38.0,37.0,36.0,7,0,56
26.0,27.0,26.0,26.0,1,2,28
25.0,25.0,25.0,24.0,2,3,41
27.0,28.0,28.0,27.0,3,4,39
44.0,45.0,43.0,43.0,4,5,54
39.0,42.0,40.0,39.0,5,6,52
40.0,43.0,41.0,41.0,6,0,56
50.0,53.0,51.0,52.0,7,1,52
34.0,34.0,34.0,34.0,1,3,41
34.0,35.0,34.0,33.0,2,4,39
37.0,39.0,38.0,38.0,3,5,54
41.0,44.0,42.0,41.0,4,6,52
46.0,51.0,48.0,47.0,5,0,56
45.0,52.0,49.0,47.0,6,1,52
33.0,37.0,35.0,35.0,7,2,55
36.0,37.0,36.0,36.0,1,4,39
46.0,47.0,46.0,45.0,2,5,54
44.0,45.0,44.0,43.0,3,6,52
56.0,60.0,58.0,56.0,4,0,56
45.0,50.0,48.0,46.0,5,1,52
41.0,48.0,45.0,43.0,6,2,55
26.0,29.0,27.0,27.0,7,3,44
52.0,52.0,51.0,51.0,1,5,54
47.0,47.0,46.0,45.0,2,6,52
60.0,60.0,60.0,59.0,3,0,56
50.0,53.0,50.0,49.0,4,1,52
38.0,43.0,41.0,40.0,5,2,55
24.0,28.0,27.0,26.0,6,3,44
22.0,25.0,24.0,24.0,7,4,48
46.0,45.0,45.0,45.0,1,6,52
60.0,60.0,60.0,60.0,2,0,56
58.0,54.0,54.0,52.0,3,1,52
43.0,43.0,42.0,40.0,4,2,55
27.0,28.0,28.0,27.0,5,3,44
21.0,22.0,22.0,22.0,6,4,48
45.0,49.0,50.0,49.0,7,5,51
60.0,59.0,59.0,58.0,1,0,56
58.0,54.0,55.0,53.0,2,1,52
53.0,48.0,48.0,46.0,3,2,55
34.0,33.0,33.0,31.0,4,3,44
28.0,28.0,29.0,28.0,5,4,48
52.0,53.0,56.0,52.0,6,5,51
34.0,35.0,38.0,36.0,7,6,54
56.0,54.0,53.0,53.0,1,1,52
57.0,54.0,54.0,53.0,2,2,55
35.0,32.0,32.0,30.0,3,3,44
40.0,38.0,38.0,36.0,4,4,48
55.0,52.0,53.0,51.0,5,5,51
49.0,47.0,48.0,46.0,6,6,54
49.0,46.0,48.0,46.0,7,0,56
56.0,55.0,54.0,54.0,1,2,55
42.0,40.0,40.0,39.0,2,3,44
51.0,46.0,45.0,44.0,3,4,48
60.0,58.0,57.0,55.0,4,5,51
52.0,46.0,46.0,44.0,5,6,54
60.0,56.0,56.0,54.0,6,0,56
50.0,44.0,44.0,42.0,7,1,56
45.0,44.0,44.0,43.0,1,3,44
44.0,43.0,43.0,42.0,2,4,48
60.0,60.0,60.0,58.0,3,5,51
60.0,56.0,56.0,53.0,4,6,54
60.0,58.0,59.0,56.0,5,0,56
60.0,60.0,60.0,59.0,6,1,56
51.0,45.0,46.0,43.0,7,2,48
46.0,46.0,46.0,45.0,1,4,48
56.0,55.0,55.0,55.0,2,5,51
59.0,55.0,54.0,52.0,3,6,54
60.0,60.0,60.0,58.0,4,0,56
60.0,58.0,59.0,57.0,5,1,56
48.0,42.0,44.0,42.0,6,2,48
58.0,51.0,52.0,49.0,7,3,55
48.0,48.0,48.0,47.0,1,5,51
52.0,51.0,51.0,51.0,2,6,54
60.0,60.0,60.0,60.0,3,0,56
60.0,59.0,59.0,57.0,4,1,56
60.0,56.0,58.0,55.0,5,2,48
60.0,57.0,59.0,56.0,6,3,55
58.0,48.0,50.0,47.0,7,4,51
56.0,56.0,56.0,55.0,1,6,54
60.0,60.0,60.0,60.0,2,0,56
57.0,58.0,56.0,56.0,3,1,56
59.0,57.0,56.0,55.0,4,2,48
60.0,55.0,54.0,53.0,5,3,55
60.0,52.0,52.0,51.0,6,4,51
45.0,37.0,36.0,36.0,7,5,52
58.0,60.0,59.0,59.0,1,0,56
54.0,56.0,55.0,55.0,2,1,56
55.0,57.0,55.0,55.0,3,2,48
54.0,53.0,52.0,52.0,4,3,55
51.0,46.0,45.0,45.0,5,4,51
44.0,39.0,38.0,39.0,6,5,52
60.0,60.0,60.0,60.0,7,6,60
56.0,57.0,57.0,57.0,1,1,56
54.0,55.0,54.0,54.0,2,2,48
60.0,60.0,60.0,60.0,3,3,55
52.0,52.0,50.0,50.0,4,4,51
45.0,43.0,41.0,41.0,5,5,52
60.0,60.0,60.0,60.0,6,6,60
60.0,57.0,53.0,53.0,7,0,56
51.0,52.0,51.0,51.0,1,2,48
60.0,60.0,60.0,60.0,2,3,55
52.0,54.0,52.0,51.0,3,4,51
48.0,49.0,47.0,46.0,4,5,52
60.0,60.0,60.0,60.0,5,6,60
57.0,57.0,53.0,52.0,6,0,56
38.0,36.0,32.0,31.0,7,1,49
58.0,59.0,59.0,59.0,1,3,55
48.0,49.0,48.0,48.0,2,4,51
42.0,45.0,43.0,43.0,3,5,52
60.0,60.0,60.0,60.0,4,6,60
59.0,60.0,57.0,57.0,5,0,56
42.0,42.0,38.0,39.0,6,1,49
44.0,43.0,38.0,38.0,7,2,47
49.0,50.0,50.0,50.0,1,4,51
44.0,46.0,46.0,46.0,2,5,52
60.0,60.0,60.0,60.0,3,6,60
58.0,60.0,59.0,60.0,4,0,56
38.0,40.0,37.0,38.0,5,1,49
37.0,38.0,35.0,36.0,6,2,47
60.0,60.0,60.0,60.0,7,3,56
49.0,50.0,50.0,50.0,1,5,52
60.0,60.0,60.0,60.0,2,6,60
54.0,59.0,59.0,59.0,3,0,56
38.0,40.0,39.0,40.0,4,1,49
44.0,47.0,44.0,45.0,5,2,47
60.0,60.0,60.0,60.0,6,3,56
53.0,56.0,50.0,51.0,7,4,48
60.0,60.0,60.0,60.0,1,6,60
57.0,58.0,59.0,58.0,2,0,56
39.0,41.0,42.0,41.0,3,1,49
51.0,53.0,52.0,52.0,4,2,47
60.0,60.0,60.0,60.0,5,3,56
47.0,51.0,47.0,47.0,6,4,48
35.0,36.0,32.0,31.0,7,5,59
56.0,57.0,58.0,58.0,1,0,56
44.0,46.0,47.0,47.0,2,1,49
44.0,46.0,48.0,47.0,3,2,47
55.0,58.0,59.0,59.0,4,3,56
44.0,48.0,47.0,46.0,5,4,48
33.0,37.0,35.0,35.0,6,5,59
60.0,60.0,60.0,60.0,7,6,57
47.0,48.0,49.0,48.0,1,1,49
42.0,44.0,45.0,45.0,2,2,47
51.0,53.0,55.0,54.0,3,3,56
39.0,41.0,42.0,41.0,4,4,48
38.0,41.0,41.0,40.0,5,5,59
60.0,60.0,60.0,60.0,6,6,57
60.0,60.0,60.0,60.0,7,0,60
45.0,46.0,46.0,46.0,1,2,47
60.0,60.0,60.0,60.0,2,3,56
46.0,47.0,49.0,48.0,3,4,48
43.0,45.0,47.0,46.0,4,5,59
60.0,60.0,60.0,60.0,5,6,57
60.0,60.0,60.0,60.0,6,0,60
60.0,60.0,60.0,60.0,7,1,57
